Frequency (MHz),Channel 1 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Power (W),DE (%),PAE (%),Total DC Drain Power (W)
2000,15,-30.68790042,2.09295328828267,32.7808537082827,12.750111498076,0.0126993457154385,0.0126926515571809,12.750111498076
2000,15,-29.68790042,3.1800084945815,32.8679089145815,12.750111498076,0.0163112358288283,0.0163028083828872,12.750111498076
2000,15,-28.68790042,4.15469416352681,32.8425945835268,12.750111498076,0.0204152843705149,0.0204046748446632,12.750111498076
2000,15,-27.68790042,5.16769465180806,32.8555950718081,12.750111498076,0.0257783717609325,0.0257650151592307,12.750111498076
2000,15,-26.68790042,6.12147959443502,32.809380014435,12.750111498076,0.0321095320802631,0.0320927171149654,12.750111498076
2000,15,-25.68790042,7.20460947724752,32.8925098972475,12.750111498076,0.0412047197894318,0.0411835510023201,12.750111498076
2000,15,-24.68790042,8.12661799165181,32.8145184116518,12.750111498076,0.0509504256487515,0.0509237757247198,12.750111498076
2000,15,-23.68790042,9.10172709199361,32.7896275119936,12.750111498076,0.0637762128653079,0.063742662598722,12.750111498076
2000,15,-22.68790042,10.128258311476,32.816158731476,12.759906413186,0.0807194775045679,0.0806772726440893,12.759906413186
2000,15,-21.68790042,11.1591306564467,32.8470310764467,12.759906413186,0.102344751668691,0.102291618897334,12.759906413186
2000,15,-20.68790042,12.0658803817885,32.7537808017885,12.759906413186,0.126107393410913,0.126040503214852,12.759906413186
2000,15,-19.68790042,13.0954442855971,32.7833447055971,12.769701328296,0.15972161356043,0.159637468385355,12.769701328296
2000,15,-18.68790042,14.1250081894057,32.8129086094057,12.769701328296,0.202451071331228,0.202345138832046,12.769701328296
2000,15,-17.68790042,15.0827127334731,32.7706131534731,12.779496243406,0.252207233719095,0.2520739748193,12.779496243406
2000,15,-16.68790042,16.0730787155288,32.7609791355288,12.789291158516,0.316563906781179,0.316396272250286,12.789291158516
2000,15,-15.68790042,17.1170163986342,32.8049168186342,12.789291158516,0.402582752932887,0.402371713562051,12.789291158516
2000,15,-14.68790042,18.078640544142,32.766540964142,12.808880988736,0.501594613316216,0.501329336823197,12.808880988736
2000,15,-13.68790042,19.0820737716811,32.7699741916811,12.828470818956,0.631004543755048,0.630671090418483,12.828470818956
2000,15,-12.68790042,20.061987483229,32.749887903229,12.848060649176,0.789516426551939,0.789097273743906,12.848060649176
2000,15,-11.68790042,21.0523553726333,32.7402557926333,12.867650479396,0.990230460402616,0.989703581629305,12.867650479396
2000,15,-10.68790042,22.0597082016128,32.7476086216127,12.906828639849,1.24494818409848,1.24428689644562,12.906828639849
2000,15,-9.68790042,23.0474630233901,32.7353634433901,12.946008300289,1.55815415176171,1.55732415943589,12.946008300289
2000,15,-8.68790042,24.0456701156753,32.7335705356752,13.004777790949,1.95192926594173,1.95088908947947,13.004777790949
2000,15,-7.68790042,25.0007615921157,32.6886620121157,13.063545781622,2.42111315593038,2.41980954231904,13.063545781622
2000,15,-6.68790042,26.0237928268569,32.7116932468569,13.141905102502,3.04593727633163,3.04430590948863,13.141905102502
2000,15,-5.68790042,27.0063215133803,32.6942219333803,13.239854253602,3.79095777376838,3.78891919848814,13.239854253602
2000,15,-4.68790042,28.0136743423598,32.7015747623598,13.357391734935,4.73855331563158,4.73600948439894,13.357391734935
2000,15,-3.68790042,29.0184141037124,32.7063145237124,13.523903791818,5.89846949613109,5.89530643281486,13.523903791818
2000,15,-2.68790042,30.033607089247,32.721507509247,13.710005678921,7.3506048067235,7.34667679908805,13.710005678921
2000,15,-1.68790042,31.0383468505996,32.7262472705996,13.935287226464,9.11420432455138,9.1093391992118,13.935287226464
2000,15,-0.687900420000001,31.9620805618422,32.6499809818422,14.18995201935,11.0720268224163,11.0660119138349,14.18995201935
2000,15,0.312099579999999,32.9210906860488,32.6089911060488,14.513182717993,13.5003928297865,13.4929891556593,14.513182717993
2000,15,1.31209958,33.67627867433,32.36417909433,14.895181407309,15.6524408259293,15.643359188462,14.895181407309
2000,15,2.31209958,34.3334756729262,32.0213760929262,15.33595708722,17.6862875908695,17.6751830892095,15.33595708722
2000,15,3.31209958,34.8587098953383,31.5466103153383,15.78650818241,19.3903170604292,19.3767363065409,15.78650818241
2000,15,4.31209958,35.1370063659804,30.8249067859804,15.99220139972,20.4076212788418,20.3907440279114,15.99220139972
2000,15,5.31209958,35.2428365585463,29.9307369785463,15.83548275796,21.1179787295787,21.0965212528467,15.83548275796
2000,15,6.31209958,35.2702747223037,28.9581751423037,15.61019971043,21.5585234688641,21.5311202550875,15.61019971043
2000,15,7.31209958,35.2114797470229,27.8993801670229,15.35553191757,21.6213650639768,21.5862943107929,15.35553191757
2000,15,8.31209958,35.1592174408095,26.8471178608095,15.20860819092,21.5691123428884,21.524534352484,15.20860819092
2000,15,9.31209958,35.1095682022231,25.7974686222231,15.16944353035,21.3789893347525,21.32272407756,15.16944353035
