Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
2000,12,3,-30.68790042,2.18093546601705,32.8688358860171,11.50120277124,0,11.50120277124,0,0.0143664771446622,0.014359056071765
2000,12,3,-29.68790042,3.0350004074233,32.7229008274233,11.50903894755,0,11.50903894755,0,0.0174767623609841,0.0174674261448254
2000,12,3,-28.68790042,4.10768183442525,32.7955822544253,11.50903894755,0,11.50903894755,0,0.0223732524827985,0.0223614988830264
2000,12,3,-27.68790042,5.05754908296041,32.7454495029604,11.50903894755,0,11.50903894755,0,0.0278429885337559,0.0278281916283227
2000,12,3,-26.68790042,6.03615626069478,32.7240566806948,11.50903894755,0,11.50903894755,0,0.0348800072326295,0.0348613790323638
2000,12,3,-25.68790042,7.09446390839986,32.7823643283999,11.50903894755,0,11.50903894755,0,0.0445048489203832,0.0444813974056926
2000,12,3,-24.68790042,8.03126581880025,32.7191662388003,11.50903894755,0,11.50903894755,0,0.0552188709080265,0.0551893472002375
2000,12,3,-23.68790042,9.06213434907369,32.7500347690737,11.50903894755,0,11.50903894755,0,0.0700123048519869,0.0699751367060009
2000,12,3,-22.68790042,10.0760198471206,32.7639202671206,11.50903894755,0,11.50903894755,0,0.0884225275380504,0.0883757356145594
2000,12,3,-21.68790042,11.0663877365249,32.7542881565249,11.51687512386,0,11.51687512386,0,0.110995178970163,0.110936311509788
2000,12,3,-20.68790042,12.0659032699721,32.7538036899721,11.51687512386,0,11.51687512386,0,0.139719064505414,0.13964495476362
2000,12,3,-19.68790042,13.0044256088393,32.6923260288393,11.51687512386,0,11.51687512386,0,0.173423482510388,0.173330183873183
2000,12,3,-18.68790042,14.0544763443129,32.742376764313,11.51687512386,0,11.51687512386,0,0.220857919405394,0.22074046338013
2000,12,3,-17.68790042,15.0383115646499,32.7262119846499,11.52471130017,0,11.52471130017,0,0.276822318400361,0.276674550567833
2000,12,3,-16.68790042,15.9907899734633,32.6786903934633,11.52471130017,0,11.52471130017,0,0.344706079038938,0.344520050359523
2000,12,3,-15.68790042,17.0608564254897,32.7487568454897,11.53254747648,0,11.53254747648,0,0.440717596994605,0.440483559895254
2000,12,3,-14.68790042,18.0146413681167,32.7025417881167,11.54038365279,0,11.54038365279,0,0.548584951267646,0.548290516079837
2000,12,3,-13.68790042,19.0481248733657,32.7360252933657,11.548218629073,0,11.548218629073,0,0.695500569677909,0.695130149223032
2000,12,3,-12.68790042,20.0411058303969,32.7290062503969,11.563890981693,0,11.563890981693,0,0.872984623676459,0.872518923964536
