Frequency (MHz),Channel 1 Voltages (V),Channel 2 Voltages (V),RF Input Power (dBm),RF Output Power (dBm),Gain,Channel 1 DC Power (W),Channel 2 DC Power (W),Total DC Drain Power (W),Total DC Gate Power (W),DE (%),PAE (%)
4000,12,3,-30.98558217,4.61422446077223,35.5998066307722,11.51587701714,0.00023767110678855,11.5161146882468,0,0.0251256013435142,0.0251186808701467
4000,12,3,-28.98558217,6.6929521829402,35.6785343529402,11.52371251433,0.00022162999836846,11.5239341443284,0,0.0405223338778598,0.0405113731091065
4000,12,3,-26.98558217,8.67299368684645,35.6585758568465,11.52471130017,0.00022162999836846,11.5249329301684,0,0.0639235612529969,0.0639061911106957
4000,12,3,-24.98558217,10.6936197549617,35.6792019249617,11.53154801152,0.00022162999836846,11.5317696415184,0,0.101733975786395,0.101706462287406
4000,12,3,-22.98558217,12.6730470926082,35.6586292626082,11.54038365279,0.00022162999836846,11.5406052827884,0,0.16035264276959,0.160309070197644
4000,12,3,-20.98558217,14.6341848642146,35.6197670342146,11.547217805977,0.00022162999836846,11.5474394359754,0,0.251728734946356,0.251659717944414
4000,12,3,-18.98558217,16.5900965005672,35.5756786705672,11.562888800357,0.00022162999836846,11.5631104303554,0,0.394398247760339,0.394289011428087
4000,12,3,-16.98558217,18.5773630410945,35.5629452110945,11.594230789117,0.00022162999836846,11.5944524191154,0,0.621564298498843,0.621391638576863
4000,12,3,-14.98558217,20.5515661508357,35.5371483208357,11.634416568483,0.00022162999836846,11.6346381984814,0,0.975896437182497,0.975623734819988
4000,12,3,-12.98558217,22.5662718087947,35.5518539787947,11.697105978963,0.00022162999836846,11.6973276089614,0,1.54362046400987,1.54319057620063
4000,12,3,-10.98558217,24.5261030465877,35.5116852165877,11.791138894656,0.00022162999836846,11.7913605246544,0,2.40461962039779,2.40394372752835
4000,12,3,-8.98558217,26.4833212167537,35.4689033867537,11.932188868209,0.00022162999836846,11.9324104982074,0,3.72909919749434,3.72804064208089
4000,12,3,-6.98558217,28.4078750879085,35.3934572579085,12.12026069973,0.00020558885994104,12.1204662885899,0,5.7183163894341,5.71666472257375
4000,12,3,-4.98558217,30.2331304818904,35.2187126518904,12.56691074913,0.00022162999836846,12.5671323791284,0,8.39608561290178,8.39356093724153
4000,12,3,-2.98558217,32.0701446801936,35.0557268501936,13.45906832103,0.00018954811160891,13.4592578691416,0,11.9672221792043,11.9634860604758
4000,12,3,-0.985582170000001,33.5792141229426,34.5647962929426,14.61214076577,0.00018954811160891,14.6123303138816,0,15.6027780739491,15.5973239839247
4000,15,3,-30.98558217,4.65273001497145,35.6383121849715,12.670883542556,0.00018954811160891,12.6710730906676,0,0.0230387867786683,0.0230324971010359
4000,15,3,-28.98558217,6.44209387605544,35.4276760460554,12.681547092306,0.00020558885994104,12.6817526811659,0,0.034756025585804,0.0347460655132131
4000,15,3,-26.98558217,8.33920767610427,35.3247898461043,12.691343507403,0.00018954811160891,12.6915330555146,0,0.0537534919623679,0.0537377184758921
4000,15,3,-24.98558217,10.5041666299617,35.4897487999617,12.701136922526,0.00020558885994104,12.7013425113859,0,0.0884233644274907,0.0883983844435179
4000,15,3,-22.98558217,12.4300279886043,35.4156101586043,12.720726752746,0.00020558885994104,12.7209323416059,0,0.137557367554324,0.13751783791605
4000,15,3,-20.98558217,14.4525728494441,35.4381550194441,12.730521667856,0.00017350697318149,12.7306951748292,0,0.218980360034315,0.218917757824536
4000,15,3,-18.98558217,16.4058714181697,35.3914535881697,12.750111498076,0.00018954811160891,12.7503010461876,0,0.342820435938163,0.342721370687212
4000,15,3,-16.98558217,18.4140444070613,35.3996265770613,12.789291158516,0.00018954811160891,12.7894807066276,0,0.542689638333174,0.542533111473639
4000,15,3,-14.98558217,20.4235239297664,35.4091060997664,12.838265734066,0.00020558885994104,12.8384713229259,0,0.85869528376735,0.858448152061101
4000,15,3,-12.98558217,22.4160185128963,35.4016006828963,12.916625054946,0.00020558885994104,12.9168306438059,0,1.35034856059597,1.34995925932862
4000,15,3,-10.98558217,24.3444929391658,35.3300751091658,13.034162536279,0.00020558885994104,13.0343681251389,0,2.08621619023942,2.08560475312002
4000,15,3,-8.98558217,26.309548404864,35.295130574864,13.210469508272,0.00020558885994104,13.2106750971319,0,3.23615883201888,3.23520270240132
4000,15,3,-6.98558217,28.2314901620662,35.2170723320662,13.445544470938,0.00018954811160891,13.4457340190496,0,4.9495361473872,4.94804727571441
4000,15,3,-4.98558217,30.0384540826594,35.0240362526594,13.876517735804,0.00018954811160891,13.8767072839156,0,7.27041130926835,7.26812489271523
4000,15,3,-2.98558217,31.8937597543513,34.8793419243513,14.797233756196,0.00018954811160891,14.7974233043076,0,10.4517708088144,10.4483725559994
4000,15,3,-0.985582170000001,33.5517769128596,34.5373590828596,16.23707427747,0.00017350697318149,16.2372477844432,0,13.9529254273691,13.9480171469723
